AIRLINE_ID,AIRLINE_NAME
1,JetSky Airlines
2,AeroLink
3,SkyHigh Airways
4,StarFlyer
5,AirWave
6,FlyAway
7,SkyConnect
8,EagleAir
9,CloudNine Airlines
10,BlueSky Aviation
11,Sunrise Airways
12,Nimbus Airlines
13,VistaJet
14,GlobalWings
15,Harmony Air
16,AirHorizon
17,SwiftAir
18,VistaFly
19,Summit Airlines
20,AirQuest
21,Pioneer Air
22,Alpha Airlines
23,JourneyJet
24,Infinity Air
25,AirVenture
26,SkyQuest
27,PrimeAir
28,Galactic Airways
29,SkyVoyage
30,Nova Airlines
31,Explorer Air
32,Majestic Airlines
33,ApexAir
34,SkyGuard
35,Wingspan Airways
36,Skyline Air
37,Frontier Wings
38,Ascend Air
39,SkyBound
40,Eclipse Airways
41,SkyBridge
42,Radiant Air
43,OmniAir
44,Celestial Airlines
45,Zenith Air
46,AirVoyager
47,SkyGlide
48,Pinnacle Airlines
49,Altitude Air
50,Voyager Airways
