BOOKING_ID,SEAT_NUMBER,BOOKING_DATE,PASSENGER_ID,FLIGHT_ID
1001,936-U,2023-10-08 05:52:11,556,854
1002,092-B,2024-03-13 02:14:20,266,198
1003,254-K,2023-09-01 13:06:33,737,663
1004,199-H,2024-02-26 20:24:09,501,777
1005,335-E,2023-09-28 23:44:28,97,990
1006,219-C,2023-06-08 13:59:28,520,995
1007,403-L,2023-07-13 22:04:39,11,865
1008,500-H,2023-09-02 14:25:33,562,17
1009,326-C,2024-03-11 00:10:54,215,629
1010,148-X,2024-05-12 09:35:46,261,862
1011,007-C,2024-01-27 04:30:45,80,51
1012,646-Z,2024-02-02 19:42:23,882,244
1013,533-H,2023-08-18 07:23:48,513,143
1014,345-E,2023-07-10 09:15:11,724,971
1015,580-Y,2024-05-08 00:29:18,382,808
1016,999-O,2024-03-19 15:03:03,483,552
1017,804-C,2024-04-24 08:07:58,186,392
1018,911-Y,2024-02-02 13:48:25,204,289
1019,156-C,2023-06-29 16:02:36,511,175
1020,645-C,2024-01-10 14:00:24,392,774
1021,599-L,2023-09-23 05:34:07,486,232
1022,617-W,2023-12-16 11:17:11,109,104
1023,021-P,2024-01-16 19:22:36,116,428
1024,605-D,2024-04-11 09:43:44,406,159
1025,880-T,2023-10-10 13:13:36,948,72
1026,934-U,2023-12-04 04:45:49,345,568
1027,350-C,2023-09-03 18:37:52,72,131
1028,066-A,2024-03-12 02:43:17,189,846
1029,652-F,2023-07-16 06:50:56,556,568
1030,451-P,2023-06-24 12:41:43,1000,908
1031,662-A,2023-06-08 22:10:27,586,40
1032,771-S,2023-07-05 04:30:47,432,557
1033,732-U,2024-04-29 16:35:32,1000,28
1034,347-V,2023-06-08 05:19:18,613,600
1035,637-X,2023-12-21 09:25:16,72,103
1036,961-Z,2023-06-04 18:33:15,77,987
1037,462-Y,2023-11-05 17:08:01,919,559
1038,345-X,2024-01-25 01:52:18,445,416
1039,732-B,2024-01-04 12:52:51,262,612
1040,687-Y,2023-12-22 22:40:42,840,899
1041,137-S,2023-09-16 07:11:10,100,536
1042,986-B,2024-03-31 03:14:22,386,413
1043,249-Q,2023-09-20 06:16:56,136,403
1044,146-Z,2024-01-30 13:23:35,854,634
1045,952-G,2023-08-29 16:13:02,538,957
1046,106-G,2023-12-10 17:28:43,587,249
1047,166-R,2023-06-02 20:31:23,164,292
